R1_input,R2_input,R3_input,R1_top,R2_top,R3_top,R1_bot,R2_bot,R3_bot
crRNA0001:1-23,599.974740125723,849.102684139775,585.27528377647,877.186407198888,796.969110691294,540.810797198432,1101.94667689663,693.254717818697,643.045793850969
crRNA0002:2-24,627.679856815859,689.637058094013,578.049662989106,484.541063024148,490.959874096747,510.289791811986,953.572904309561,565.276188697568,647.876688796427
crRNA0003:3-25,692.62791725339,668.927236529628,683.654889881346,576.436781873555,680.95461989446,624.341969835022,952.66818618403,594.670550509841,646.266390481274
crRNA0004:5-27,880.205182712832,1288.15090130473,992.689132787061,685.040813241036,645.645861825859,926.874742525234,1601.35108218968,960.517299834907,1064.40718631592
crRNA0005:6-28,600.883104607367,902.948220207176,649.750053879101,651.624188204888,852.454301941954,614.703757607723,1372.45739643036,719.483532974264,645.192858271172
crRNA0006:7-29,701.711562069828,1105.90447153815,646.41515197724,843.76978216274,1217.31146865084,668.249381092716,1191.51377132419,658.885925545885,686.523848360091
crRNA0007:8-30,753.488337523523,782.831255133744,541.921559052287,476.186906765111,504.410829551452,574.009083759128,1385.1234501878,715.413544415642,661.295841422699
crRNA0008:9-31,493.241913532578,733.127683379221,419.641822650745,893.894719716962,316.097453185577,461.563274440642,971.667266820179,479.806428966495,505.63367095794
crRNA0009:10-32,547.743782431205,923.658041771561,543.589010003217,217.208062734963,601.930256598066,643.618394289619,791.628359839531,433.679891968774,482.015962335701
crRNA0010:12-34,592.707824272573,1118.33036447678,534.695938264923,409.353656692814,112.651751933158,623.271057365322,989.761629330796,673.356995976543,568.972071353946
crRNA0011:13-35,786.1894588627,803.541076698129,679.208354012199,885.540563457925,928.115926374672,898.495562078187,906.527561781954,740.285696718335,516.905759164009
crRNA0012:14-36,530.939039520795,830.463844731829,520.244696690195,1211.35265756037,738.121180576958,970.782153782928,622.446070365254,494.729720348111,326.353791870942
crRNA0013:15-37,687.177730363527,809.754023167444,680.875804963129,1370.08162648207,867.586626828498,842.272657418944,858.577501128817,572.963944863855,492.751284436719
crRNA0014:17-39,946.061607632007,1116.25938232034,801.488090413741,2564.72597152437,1686.41354013369,1540.50758766326,870.338836760719,528.646291669965,423.508456885154
crRNA0015:18-40,777.105814046262,987.858488621153,635.298812304373,1177.93603252422,1471.1982528584,1281.88222623074,666.777258516268,369.012295981772,332.258219026502
crRNA0016:19-41,560.006702933396,768.334380038675,605.284695187631,1512.1022828857,941.566881829377,1018.97321491942,474.072297778188,371.725621687521,310.250808719416
crRNA0017:20-42,646.755510930378,745.553576317852,615.289400893212,977.436282307332,830.596499328058,886.715524911489,686.681057277948,456.290939516677,413.846666994238
crRNA0018:21-43,737.591959094757,401.770538349065,734.790052376536,1319.95668892785,1072.71369751275,1531.94028790566,438.788290882483,411.973286322787,294.68459167294
crRNA0019:22-44,622.229669925996,461.82902088578,629.740642467939,902.248875975999,902.895384897099,1118.56807460151,413.456183367618,407.903297764165,378.420104060879
crRNA0020:24-46,744.404692707086,534.313396361127,787.592665822657,1136.16525122904,1383.76704240282,1140.52178023036,683.966902901355,610.046062842415,533.008742315536
crRNA0021:25-47,639.034412836406,772.476344351552,608.619597089491,1720.95618936163,1299.69857081091,1267.42490788979,303.98529017838,208.021637440705,258.72126263453
crRNA0022:26-48,641.305324040516,774.54732650799,607.507963122205,785.290688349481,416.979619095867,638.26383194112,714.727319169405,519.601872650804,653.781115951987
crRNA0023:27-49,511.863385406275,370.705806002487,565.265872365308,1019.20706360252,701.131053076518,1031.28870832097,398.075975233593,307.058025700519,352.118564913385
crRNA0024:28-50,529.122310557507,555.023217925512,507.460906066398,735.165750795258,906.258123760775,1224.5884091018,247.892766395465,267.26258201621,195.382862238525
crRNA0025:29-51,429.656399817513,470.112949511534,554.149532692441,1035.91537612059,1832.69268070361,1831.26032318677,319.365498312405,156.016228080529,104.132624379873
crRNA0026:31-53,674.914809861336,791.115183759498,715.336457949018,1837.91437698815,2681.78424378189,1852.67857258077,267.796565157144,203.047206980166,202.897587709237
crRNA0027:32-54,723.058127388457,670.998218686066,607.507963122205,877.186407198888,2264.80462468602,1728.98818233043,332.936270195368,236.059336400104,326.353791870942
crRNA0028:34-56,537.297590892302,714.488843971274,715.892274932662,434.416125469925,391.759077618294,1076.80248828321,503.023277795176,425.992135802487,426.192287410408
crRNA0029:35-57,548.197964672027,383.131698941118,553.037898725154,601.499250650666,396.803185913809,575.079996228828,550.973338448314,500.156371759608,499.19247769733
crRNA0030:36-58,481.88735751203,426.622324226326,474.667704031439,994.144594825406,670.866403303431,684.848524373064,398.075975233593,397.954436843088,320.986130820434
crRNA0031:37-59,675.368992102158,428.693306382765,656.975674666465,325.812094102444,269.019109094108,729.291391865608,416.170337744211,600.549422872296,574.876498509505
crRNA0032:38-60,451.457147376963,600.584825367158,509.684174000971,776.936532090444,549.807804211083,502.257948289237,455.073217142039,495.181941299069,465.912979184174
crRNA0033:39-61,465.08261460162,337.570091499472,394.07424140315,217.208062734963,524.58726273351,396.7730700238,356.458941459172,408.807739666081,370.368612485116
crRNA0034:40-62,536.84340865148,581.945985959212,602.505610269414,442.770281728962,722.988855690415,624.877426069871,688.490493529009,667.930344565046,575.950030719607
crRNA0035:41-63,693.990463975855,826.321880418952,604.173061220344,501.249375542222,704.493791940195,740.000516562607,749.106607939579,652.554832232472,536.766105050892
crRNA0036:42-64,485.974997679427,563.307146551266,387.40443759943,509.603531801259,860.861149101145,359.826589819155,590.780935971673,371.725621687521,358.559758173996
crRNA0037:43-65,377.879624363817,513.603574796742,408.525482977878,593.145094391629,568.302867961303,322.34465337966,683.062184775824,446.342078595599,432.633480671019
crRNA0038:46-68,477.345535103811,523.958485578935,500.235285279034,484.541063024148,3248.40574231135,408.017650955649,571.781855335524,413.78217012662,538.376403366045
crRNA0039:48-70,475.528806140524,428.693306382765,528.581951444846,434.416125469925,953.336467852244,443.357762455744,756.344352943826,631.752668488402,538.913169471096
crRNA0040:49-71,512.771749887919,675.140182998943,503.014370197251,726.811594536221,383.352230459104,478.69787395584,739.154708558739,476.640882309789,641.435495535816
crRNA0041:50-72,342.453409579709,505.319646170988,364.615941270051,100.249875108444,459.013854891821,322.880109614509,445.121317761199,283.5425362507,311.324340929517
crRNA0042:51-73,468.261890287374,718.630808284151,531.361036363063,492.895219283185,218.578026138963,558.48085294848,613.398889109945,485.233080377992,534.619040630689
crRNA0043:52-74,498.237918181619,550.881253612635,483.004958786089,609.853406909703,428.749205118734,407.482194720799,691.204647905602,512.818558386433,528.177847370078
crRNA0044:53-75,552.285604839424,577.804021646335,591.94508758019,258.978844030148,40.3528663641162,497.974298410437,649.587614131181,656.172599840137,719.266580768195
crRNA0045:54-76,540.476866578055,683.424111624697,558.596068561588,426.061969210888,497.685351824099,537.062603554483,800.67554109484,600.097201921338,629.089875119646
crRNA0046:55-77,552.285604839424,687.566075937574,496.900383377174,559.728469355481,862.542518532983,572.402715054578,741.868862935332,596.479434313673,495.435114961973
crRNA0047:56-78,588.620184105176,555.023217925512,628.629008500653,776.936532090444,576.709715120493,556.87448424393,661.348949763082,561.206200138945,689.744444990396
crRNA0048:57-79,546.381235708739,606.797771836474,480.225873867873,668.332500722962,432.111943982411,592.750051978875,531.974257812165,423.731031047697,485.236558966006
crRNA0049:58-80,590.891095309285,588.158932428527,577.493846005463,735.165750795258,563.258759665788,708.944054941311,378.172176471913,538.142931640084,449.273229927597
crRNA0050:59-81,361.529063694228,354.13794875098,382.402084746639,208.853906475926,633.876275802991,457.279624561843,263.27297452949,270.880349623874,362.317120909352
crRNA0051:60-82,633.584225946543,410.054466974818,732.566784441963,551.374313096444,341.317994663149,549.913553190881,591.685654097204,642.153750360437,587.222118925676
crRNA0052:61-83,453.728058581073,463.900003042219,521.912147641125,467.832750506074,311.053344890062,386.063945326802,554.592210950437,577.938375324393,663.979671947954
crRNA0053:62-84,350.174507673681,217.45312642604,335.713458120596,217.208062734963,309.371975458224,383.922120387402,195.419115114673,289.421408613155,355.875927648741
crRNA0054:63-85,403.313829849843,389.344645410434,435.20469819276,116.958187626518,327.867039208444,344.833815243357,347.411760203863,388.457796872969,342.456775022469
crRNA0055:64-86,569.998712231478,523.958485578935,490.786396557097,651.624188204888,516.180415574319,501.722492054387,707.489574165158,490.659731789489,559.84704756808
crRNA0056:65-87,482.341539752852,840.818755514022,538.030840166783,309.10378158437,783.518155236589,548.307184486331,548.259184071721,523.219640258469,427.802585725561
crRNA0057:66-88,507.321562998056,354.13794875098,417.974371699815,292.395469066296,329.548408640282,341.085621599407,340.174015199616,428.705461508235,512.611630323602
crRNA0058:67-89,503.233922830659,352.066966594541,432.425613274543,116.958187626518,262.293631366755,378.032101804053,454.168499016508,385.74447116722,494.898348856923
crRNA0059:69-91,574.994716880519,505.319646170988,582.496198858253,1662.47709554837,1592.25685195075,1395.39894801892,295.842827048602,328.312410395547,283.949269571922
crRNA0060:70-92,748.492332874483,695.850004563328,711.445739063515,1954.87256461466,3268.58217549341,1600.47868596645,403.504283986778,360.872318864527,380.567168481083
crRNA0061:71-93,635.400954909831,998.213399403346,651.973321813674,58.4790938132592,660.778186712402,592.750051978875,850.435037999039,622.708249469241,695.112106040905
crRNA0062:72-94,512.317567647097,434.90625285208,466.330449276788,476.186906765111,255.568153639402,335.195603016058,689.39521165454,523.671861209427,507.243969273093
crRNA0063:73-95,558.644156210931,515.674556953181,589.166002661973,392.64534417474,107.607643637643,410.159475895048,620.636634114192,640.344866556605,536.229338945841
crRNA0064:74-96,408.309834498883,397.628574036188,327.932020349589,367.582875397629,129.465446251539,232.388005924871,291.319236420947,434.58433387069,354.265629333589
crRNA0065:75-97,410.126563462171,385.202681097557,421.309273601675,167.083125180741,351.406211254178,376.425733099503,486.73835153562,413.329949175662,542.133766101401
crRNA0066:76-98,507.321562998056,447.332145790711,459.104828489424,142.020656403629,633.876275802991,429.971356584496,420.693928371865,457.647602369551,419.214328044747
crRNA0067:77-99,537.297590892302,757.979469256483,695.8828635215,409.353656692814,659.096817280564,686.454893077614,693.918802282195,587.88723624547,556.089684832724
crRNA0068:78-100,620.412940962708,617.152682618666,611.954498991351,893.894719716962,926.434556942834,675.210312145765,679.4433122737,494.729720348111,666.126736368157
crRNA0069:79-101,654.022426783529,644.075450652366,680.875804963129,275.687156548222,731.395702849605,591.143683274326,738.249990433208,653.911495085346,685.450316149989
crRNA0070:80-102,611.32929614627,557.09420008195,624.738289615149,860.478094680814,958.380576147759,863.155450578092,461.406244020755,365.394528374108,448.199697717495
crRNA0071:81-103,633.584225946543,803.541076698129,580.828747907323,1520.45643914474,805.375957850485,914.559249123685,782.581178584222,401.119983499794,437.464375616477
crRNA0072:82-104,827.520042777492,1642.28885005571,951.002859013808,1236.41512633748,869.267996260336,1021.11503985882,1042.23528061159,615.472714253912,747.715184335893
crRNA0073:85-107,534.57249744737,586.087950272089,565.821689348952,710.103282018147,467.420702051012,681.100330729114,702.965983537504,439.106543380271,612.450125863068
crRNA0074:86-108,599.974740125723,606.797771836474,509.684174000971,801.999000867555,983.601117625331,566.512696471229,680.348030399231,618.638260910618,508.854267588246
crRNA0075:89-111,435.106586707375,544.668307143319,478.558422916942,509.603531801259,669.185033871593,611.491020198623,533.783694063227,435.940996723564,378.95687016593
crRNA0076:91-113,528.213946075864,569.520093020581,486.33986068795,1921.45593957852,3102.12660174143,1432.34542822357,234.321994512501,219.327161214656,185.721072347609
crRNA0077:92-114,480.978993030387,424.551342069888,514.130709870118,1821.20606447007,2155.51561161654,1747.19369431533,93.1859669296819,127.074087219213,135.265058472825
crRNA0078:93-115,487.337544401893,602.655807523597,538.030840166783,192.145593957852,319.460192049253,651.650237812368,505.737432171769,359.515656011653,448.736463822546
crRNA0079:94-116,492.333549050934,457.687056572903,459.660645473068,1787.78943943392,2666.65191889534,1757.90281901233,134.803000704103,105.819702524185,148.147444994046
crRNA0080:95-117,421.026937241897,345.854020125226,400.744045206871,1202.99850130133,2174.01067536676,1536.22393778446,104.042584436053,132.50073863071,134.728292367774
crRNA0081:96-118,520.947030222713,497.035717545234,420.753456618032,1637.41462677126,1422.43853933509,1735.94911338348,218.941786378476,203.499427931124,187.331370662761
crRNA0082:97-119,613.60020735038,706.204915345521,593.61253853112,2188.7889398677,2786.02914855585,2131.11581470273,197.228551365735,144.710704306577,184.110774032456
crRNA0083:98-120,574.994716880519,542.597324986881,565.265872365308,3416.84990994614,3297.16545583466,2138.61220199063,197.228551365735,173.200624216935,191.088733398118
crRNA0084:100-122,425.568759650115,538.455360674004,404.078947108731,3466.97484750037,2301.79475218646,1551.21671236026,126.660537574325,129.335191974003,154.051872149606
crRNA0085:101-123,491.42518456929,648.217414965243,413.527835830668,409.353656692814,733.077072281444,605.065545380424,365.506122714481,253.695953487468,289.316930622431
crRNA0086:102-124,490.062637846824,432.835270695642,395.185875370437,2013.35165842792,2370.73089889182,1388.43801696588,163.753980721092,128.882971023045,187.868136767812
crRNA0087:103-125,490.062637846824,368.634823846049,417.418554716172,576.436781873555,221.940765002639,454.602343387593,443.311881510137,423.278810096739,407.942239838678
