R1_input,R2_input,R3_input,R1_top,R2_top,R3_top,R1_bot,R2_bot,R3_bot
crRNA0001:1-23,623.080094665874,815.847001747222,648.119029634015,798.699106540907,771.748703272784,583.104103101329,927.196053145067,682.942439134254,735.118091783481
crRNA0002:2-24,607.827235301012,689.845602009595,592.537364871263,510.136965324766,515.749246106999,494.789366966032,806.838752294113,581.868646697313,698.785924727328
crRNA0003:3-25,676.375145498754,681.261160833958,716.229810891795,599.737465133646,692.137537745798,620.14099045344,833.457440111689,613.617761401149,655.060362085986
crRNA0004:5-27,902.478685416063,1239.20648711545,977.940966881871,757.487721226851,711.575505793592,874.255811685029,1371.19650060997,978.928281571205,1096.00078418385
crRNA0005:6-28,639.434481399394,861.007669843898,717.994757264317,674.269819094863,818.049391481004,656.44560366216,1098.05666247347,703.533076968886,709.872349700851
crRNA0006:7-29,721.457840320035,994.450492968422,711.099030181585,824.950617212825,1067.37563655083,748.819255704378,1060.32131429345,678.90658737673,780.923180292982
crRNA0007:8-30,702.077728451545,778.845696656991,552.477796040662,517.585523710061,532.197598644736,604.733072944785,1052.36570083194,720.372712557684,755.378194334605
crRNA0008:9-31,473.767603238159,711.522240598826,436.497022880072,716.744855008764,376.314007387145,506.365961864817,759.632080913802,516.086158572731,583.760689102713
crRNA0009:10-32,566.769144523713,813.713817324213,530.333467751692,303.115948557029,568.954523014688,692.385439730375,727.421539465028,432.692198832937,438.687955716642
crRNA0010:12-34,556.272025917571,947.250523555029,490.533603914077,417.300922121162,190.378673458724,633.401144235244,828.630155428408,663.879564459755,544.080224781356
crRNA0011:13-35,764.092717359693,790.549749741726,728.24257419219,838.463141393456,895.795064003478,908.208795316773,853.934286472864,736.300025086581,587.097674087784
crRNA0012:14-36,540.715081930535,799.73055632335,563.635199948377,992.364207210969,721.495092214411,1021.80259961719,607.827739620468,508.787297476618,361.454354686981
crRNA0013:15-37,678.3335448866,817.113335767152,736.31442067937,1099.01371346391,866.573318027494,934.329856539955,792.600432408263,608.610424193911,512.727524346526
crRNA0014:17-39,902.101652785325,1109.56976988298,889.035763876782,1882.20379482041,1558.24510570269,1786.70867858795,848.297097640778,600.0227455816,450.008821280236
crRNA0015:18-40,749.697224674237,925.356288559427,684.855855835119,1039.05403326109,1262.0558327795,1405.18229197026,664.845007860045,429.94261802359,352.940773748646
crRNA0016:19-41,564.36500427789,755.776833649324,641.428451924305,1163.05547935545,896.662308792229,1129.93259751251,499.95923032104,410.666398648812,310.425131766942
crRNA0017:20-42,630.338943797228,739.7222934254,643.76518933229,864.241213864148,807.630274608369,922.375066349557,659.85804222952,496.322264309629,435.847731015983
crRNA0018:21-43,693.861859532854,463.753251475607,715.370802903721,1077.42627512287,1055.57754418878,1460.22418563474,468.641056720483,473.587606118661,294.875704379371
crRNA0019:22-44,614.739144360489,499.895685063439,608.362308744005,813.998785663319,869.398146638843,1085.08013998871,451.486423989298,451.231407483828,364.394560774925
crRNA0020:24-46,744.932416285384,594.999653022395,791.733885036938,1032.35104382518,1232.12594319021,1211.94973247755,697.825390880722,658.460377672279,505.464140192102
crRNA0021:25-47,616.126527419054,758.548466029688,627.281011972528,1282.44272174037,1151.01581030708,1481.70777941041,355.811109384298,265.51197451093,230.543546016041
crRNA0022:26-48,615.903554428063,746.317755336567,589.55620062627,719.665326567482,489.052020073046,639.308963568113,669.4167761754,568.271610188894,665.006001473908
crRNA0023:27-49,502.650441700534,424.27164502239,534.984938456481,835.979240811113,717.830283862683,1005.84140984347,417.524477080932,363.249105343683,325.609598863644
crRNA0024:28-50,529.408858286848,540.93070130437,500.836721005419,680.229318989344,816.064752920319,1162.34830667865,297.241767390848,293.293880103326,201.523831857363
